Surname,Awards,Education,DBLP Info
Ladner,5,"Richard Ladner was born as one of four children of deaf parents. Both of his parents were teachers at the California School for the Deaf when it was in Berkeley, California, and used American Sign Language and speech for communication. He grew up around deaf people and ASL but did not become fluent until he took some ASL classes in his early thirties.[1] Ladner earned his undergraduate degree from St. Mary's College of California in 1965, and his doctorate in mathematics from the University of California, Berkeley in 1971. Among",249
Lam,0,"Monica Lam received a B.Sc. from University of British Columbia in 1980 and a Ph.D. in computer science from Carnegie Mellon University in 1987.[1] Lam joined the faculty of Computer Science at Stanford University in 1988. She has contributed to the research of a wide range of computer systems topics including compilers, program analysis, operating systems, security, computer architecture, and high-performance computing. More recently, she is working in natural language processing, and virtual assistants with an emphasis on privacy protection. She is the faculty director of the Open Virtual Assistant",170
Lamport,6,"Lamport was born into a Jewish family in Brooklyn, New York, the son of Benjamin and Hannah Lamport (née Lasser).[citation needed] His father was an immigrant from Volkovisk in the Russian Empire (now Vawkavysk, Belarus)[9] and his mother was an immigrant from the Austro-Hungarian Empire, now southeastern Poland. A graduate of Bronx High School of Science, Lamport received a B.S. in mathematics from the Massachusetts Institute of Technology in 1960, followed by M.A. (1963) and Ph.D. (1972) degrees in mathematics from Brandeis University.[10] His dissertation, The analytic Cauchy problem with",173
Lampson,6,"After graduating from the Lawrenceville School (where in 2009 he was awarded the Aldo Leopold Award, also known as the Lawrenceville Medal, Lawrenceville's highest award to alumni), Lampson received an A.B. in physics (magna cum laude with highest honors in the discipline) from Harvard University in 1964 and a PhD in electrical engineering and computer science from the University of California, Berkeley in 1967.",82
Lane,0,"Lane holds a Doctor of Philosophy (Ph.D.) in computer science from Carnegie Mellon University, awarded in 1990. He occasionally lectures there, and at other places.[7] He has worked for Hewlett-Packard,[8] Structured Software Systems,[9] Great Bridge, Red Hat, Salesforce, and Crunchy Data. In July 2000, Lane was employed by Great Bridge, one of the first PostgreSQL support companies.[10] However, the firm was dissolved in September 2001[11] and he moved to Red Hat, a competitor of Great Bridge at the time, to develop their version of PostgreSQL named Red Hat Database.[12] The",2
Langefors,0,"Langefors was born in Ystad, Sweden, in 1915, and received his training from the Royal Institute of Technology, Stockholm. He started his career in Nordic Armature Factories (NAF) industries, and in 1949 he got recruited for the SAAB aircraft company. In 1965 he went to Stockholm and was stationed at the University at the Department of Mathematical Statistics.[4] From 1967 to 1980 he was Professor of Business Information Systems at the Department of Computer and Systems Science, Stockholm University and Royal Institute of Technology, Stockholm. In 1974/75 he has been",9
Lattner,2,"Lattner studied computer science at the University of Portland, graduating in with a Bachelor of Science degree in 2000. While in Oregon, he worked as an operating system developer, enhancing Sequent Computer Systems's DYNIX/ptx.[9][11] He moved to the University of Illinois at Urbana-Champaign where he was awarded a Master of Science degree in 2002, followed by a PhD in 2005 for research on optimizing pointer-intensive programs, supervised by Vikram Adve.[12][13]",14
Lederberg,3,"Lederberg was born in Montclair, New Jersey, to a Jewish family, son of Esther Goldenbaum Schulman Lederberg and Rabbi Zvi Hirsch Lederberg, in 1925, and moved to Washington Heights, Manhattan as an infant.[4] He had two younger brothers. Lederberg graduated from Stuyvesant High School in New York City at the age of 15 in 1941.[5] After graduation, he was allowed lab space as part of the American Institute Science Laboratory, a forerunner of the Westinghouse Science Talent Search. He enrolled in Columbia University in 1941, majoring in zoology. Under the",6
Lenat,1,"Lenat was born in Philadelphia, United States, on September 13, 1950.[14] When he was 5, the family moved to Wilmington, Delaware, where his father, Nathan Lenat, owned a bottling plant.[14] His father died when he was 13 and the family then returned to Pennsylvania, where he attended Cheltenham High School.[14] His after-school job was cleaning rat cages and goose pens at Beaver College which motivated him to learn programming as a better occupation.[14] He attended the University of Pennsylvania, supporting himself by programming, including the design and development of a",64
LeCun,3,He received a Diplôme d'Ingénieur from the ESIEE Paris in 1983 and a PhD in Computer Science from Université Pierre et Marie Curie (today Sorbonne University) in 1987 during which he proposed an early form of the back-propagation learning algorithm for neural networks.[14],347
Lerdorf,0,"Lerdorf was born on Disko Island in Greenland and moved to Denmark in his early years.[2] Lerdorf's family moved to Canada from Denmark in 1980, and later moved to King City, Ontario in 1983.[3] He graduated from King City Secondary School in 1988, and in 1993 he graduated from the University of Waterloo with a Bachelor of Applied Science in Systems Design Engineering. He contributed to the Apache HTTP Server and he added the LIMIT clause to the mSQL DBMS. A variant of this LIMIT clause had already been around",5
Levchin,0,"Born in Kyiv, Ukrainian SSR to a Ukrainian-Jewish family, Levchin moved to the United States and settled in Chicago in 1991.[3][4][5] In an interview with Emily Chang of Bloomberg, Levchin discussed his overcoming adversity as a child. He had respiratory problems and doctors doubted his chance of living. With guidance from his grandmother and his parents he took up the clarinet to expand his lung capacity.[6] He attended Mather High School, and then the University of Illinois at Urbana-Champaign, where he earned a bachelor's degree in computer science in 1997.",0
Levin,1,"He obtained his master's degree at Moscow University in 1970 where he studied under Andrey Kolmogorov and completed the Candidate Degree academic requirements in 1972.[2][4] After researching algorithmic problems of information theory at the Moscow Institute of Information Transmission of the National Academy of Sciences in 1972–1973, and a position as senior research scientist at the Moscow National Research Institute of Integrated Automation for the Oil/Gas Industry in 1973–1977, he emigrated to the U.S. in 1978 and also earned a Ph.D. at the Massachusetts Institute of Technology (MIT) in 1979.[2]",66
Licklider,0,"Licklider was born on March 11, 1915, in St. Louis, Missouri.[5] He was the only child of Joseph Parron Licklider, a Baptist minister, and Margaret Robnett Licklider.[6] Despite his father's religious background, he was not religious in later life.[7] He studied at Washington University in St. Louis, where he received a B.A. with a triple major in physics, mathematics, and psychology in 1937[8][9] and an M.A. in psychology in 1938. He received a Ph.D. in psychoacoustics from the University of Rochester in 1942 as well as a Doctorate in Psychology",8
Liedtke,0,"In the mid-1970s Liedtke studied for a diploma degree in mathematics at the Bielefeld University. His thesis project was to build a compiler for the programming language ELAN, which had been launched for teaching programming in German schools.[citation needed] The compiler was written in ELAN. After his graduation in 1977, he remained at Bielefeld and worked on an Elan environment for the Zilog Z80 microprocessor. This required a runtime system (environment), which he named Eumel (""Extendable Multiuser Microprocessor ELAN-System"", but also a colloquial north-German term for a likeable fool). Eumel",37
Liskov,3,"Liskov was born November 7, 1939, in Los Angeles, California,[4] to a Jewish family, the eldest of Jane (née Dickhoff) and Moses Huberman's four children.[5] She earned her bachelor's degree in mathematics with a minor in physics at the University of California, Berkeley in 1961. At Berkeley, she had only one other female classmate in her major.[6] She applied to graduate mathematics programs at Berkeley and Princeton. At the time Princeton was not accepting female students in mathematics.[7] She was accepted at Berkeley but instead moved to Boston and began",163
Liu,0,"Liu studied computer science at Peking University earning a Bachelor of Science (B.Sc.). She moved to Tsinghua University for her graduate studies, earning a Master of Engineering (M.Eng.) in computer science in 1988. Liu was a graduate student at Cornell University, where she earned a Doctor of Philosophy (Ph.D.) in 1996.[2][4]",119
Long,2,"Long did his undergraduate studies at San Diego State University, graduating in 1984, and went on to graduate studies at the University of California, San Diego, earning a Ph.D. in 1988 under the supervision of Jehan-François Pâris.[5] While in graduate school, he worked as a lecturer in mathematics at San Diego State University and in computer science at the University of California, San Diego. After earning his Ph.D. he joined the faculty of the University of California, Santa Cruz. At UCSC, he has been associate dean for research and graduate",188
Lopez,0,"Lopez received three degrees from New Mexico State University, a B.S. in Computer Science with honors in 1980, a M.S. in Computer Science with a minor in EE and Psychology in 1982, and a Ph.D in Computer Science in 1989. From 1983-1989 she was part of the Vision and Robotics group at New Mexico State University. In 1989 she joined Hewlett Packard Co. as an R&D Software Design Engineer developing image processing algorithms and photo imaging software, and in 2000 as an Imaging Scientist responsible for new imaging technologies. In",4
Lovegrove,0,"Gillian Lesley Lowther, now Gillian Lovegrove, was born in Yorkshire on 28 October 1942[1] and grew up in the Hull area.[2] She went to Malet Lambert School and then to Newnham College, Cambridge to study mathematics. After her first degree in 1964, she did a Masters-equivalent Diploma at Cambridge University in Numerical Analysis and Automatic Computing.",7
Lovelace,0,"From 1832, when she was seventeen, her mathematical abilities began to emerge,[22] and her interest in mathematics dominated the majority of her adult life.[38] Her mother's obsession with rooting out any of the insanity of which she accused Byron was one of the reasons that Ada was taught mathematics from an early age. She was privately educated in mathematics and science by William Frend, William King,[a] and Mary Somerville, the noted 19th-century researcher and scientific author. In the 1840s, the mathematician Augustus De Morgan extended her ""much help in her",0
Lynch,7,"Lynch was born in Brooklyn, and her academic training was in mathematics. She attended Brooklyn College and MIT, where she received her Ph.D. in 1972 under the supervision of Albert R. Meyer.[2][3]",387
Thalmann,0,"Thalmann received an MS in Psychology, an MS in Biology and a Master in Biochemistry at the University of Geneva. She obtained a PhD in Quantum Physics in 1977 from the same university. She started her career as an assistant professor at the University Laval in Canada, then became a professor at HEC, University of Montreal until 1988. In 1989, she moved to the University of Geneva where she founded the MIRALab laboratory.[citation needed] Thalmann has authored and co-authored more than 600 papers in the area of Virtual Humans, social",738
Manna,4,"He was born in Haifa, Israel. He earned his Bachelor of Science (BS) and Master of Science (MS) degrees from the Technion – Israel Institute of Technology. He attended Carnegie Mellon University and earned his Doctor of Philosophy (PhD) in computer science in 1968. Manna returned to Israel in 1972 as a professor of applied mathematics at the Weizmann Institute of Science. He became a full professor at Stanford in 1978. He remained affiliated with the Weizmann Institute of Science until 1995. He continued to work as a Stanford professor",190
Martin,2,"James Martin was born on 19 October 1933 in Ashby-de-la-Zouch, England.[7] He earned a degree in physics at Keble College, Oxford. Martin joined IBM in 1959, and from the 1980s on, established several IT consultancy firms. Starting in 1981 with Dixon Doll and Tony Carter he established DMW (Doll Martin Worldwide) in London, UK, which was later renamed James Martin Associates (JMA), which was (partly) bought by Texas Instruments Software in 1991. He later co-founded Database Design Inc. (DDI), in Ann Arbor, Michigan, to promulgate his database design techniques and",21
Matiyasevich,2,"Yuri Matiyasevich was born in Leningrad on March 2, 1947. The first few classes he studied at school No. 255 with Sofia G. Generson, thanks to whom he became interested in mathematics. In 1961 he began to participate in all-Russian olympiads. From 1962 to 1963 he studied at Leningrad physical and mathematical school No. 239. Also from 7th to 9th grade he was involved in the mathematical circle of the Leningrad Palace of Pioneers. In 1963-1964 he completed 10th grade at the Moscow State University physics and mathematics boarding school",46
Mauchly,4,"John W. Mauchly was born on August 30, 1907, to Sebastian and Rachel (Scheidemantel) Mauchly in Cincinnati, Ohio. He moved with his parents and sister, Helen Elizabeth (Betty), at an early age to Chevy Chase, Maryland, when Sebastian Mauchly obtained a position at the Carnegie Institution of Washington as head of its Section of Terrestrial Electricity. As a youth, Mauchly was interested in science, and in particular with electricity, and as a young teenager was known to fix neighbors' electric systems. Mauchly attended E.V. Brown Elementary School in Chevy Chase",2
Maulik,0,"He did his schooling from Nabadwip Bakultala High School, Nabadwip, Nadia and Ramakrishna Mission Vivekananda Centenary College,[5] Rahara, 24 Parganas (North) both in West Bengal. Subsequently, he completed B.Sc. in Physics and B. Tech. in Computer Science from University of Calcutta,[6] Kolkata, West Bengal, India in 1986 and 1989. He also received his M. Tech. in Computer Science and Ph.D. in Engineering in 1992 and 1997 at Jadavpur University,[7] Kolkata, West Bengal, India. He did post-doctoral research at the University of New South Wales, Australia[8] in 1999 and the University",214
McCarthy,6,"John McCarthy was born in Boston, Massachusetts, on September 4, 1927, to an Irish immigrant father and a Lithuanian Jewish immigrant mother,[4] John Patrick and Ida (Glatt) McCarthy. The family was obliged to relocate frequently during the Great Depression, until McCarthy's father found work as an organizer for the Amalgamated Clothing Workers in Los Angeles, California. His father came from Cromane, a small fishing village in County Kerry, Ireland.[5] His mother died in 1957.[6] Both parents were active members of the Communist Party during the 1930s, and they encouraged learning",79
McIlroy,0,"McIlroy earned his bachelor's degree in engineering physics from Cornell University,[5] and a Ph.D. in applied mathematics from MIT in 1959 for his thesis On the Solution of the Differential Equations of Conical Shells (advisor Eric Reissner).[6] He taught at MIT from 1954 to 1958.[5] McIlroy joined Bell Laboratories in 1958; from 1965 to 1986 was head of its Computing Techniques Research Department (the birthplace of the Unix operating system), and thereafter was Distinguished Member of Technical Staff.[5] From 1967 to 1968, McIlroy also served as a visiting lecturer at",25
Mehlhorn,4,"Mehlhorn graduated in 1971 from the Technical University of Munich, where he studied computer science and mathematics, and earned his Ph.D. in 1974 from Cornell University under the supervision of Robert Constable. Since 1975 he has been on the faculty of Saarland University in Saarbrücken, Germany, where he was chair of the computer science department from 1976 to 1978 and again from 1987 to 1989. Since 1990 has been the director of the Max Planck Institute for Computer Science, also in Saarbrücken. He has been on the editorial boards of",449
Meyer,0,"Meyer received a master's degree in engineering from the École Polytechnique[2] in Paris, a second master's degree from Stanford University, and a PhD from the Université de Nancy. He had a technical and managerial career for nine years at Électricité de France, and for three years was a member of the faculty of the University of California, Santa Barbara. From 2001 to 2016, he was professor of software engineering at ETH Zürich, the Swiss Federal Institute of Technology, where he pursued research on building trusted components (reusable software elements) with",356
Milner,5,"Milner was born in Yealmpton, near Plymouth, England into a military family. He gained a King's Scholarship to Eton College in 1947, and was awarded the Tomline Prize (the highest prize in Mathematics at Eton) in 1952. Subsequently, he served in the Royal Engineers, attaining the rank of Second Lieutenant. He then enrolled at King's College, Cambridge, graduating in 1957. Milner first worked as a schoolteacher then as a programmer at Ferranti, before entering academia at City University, London, then Swansea University, Stanford University, and from 1973 at the University",107
Minker,3,"Minker was born on July 4, 1927[3] in Brooklyn, New York. He received his Bachelor of Arts degree from Brooklyn College in 1949,[3] Master of Arts degree from the University of Wisconsin in 1950,[3] and PhD from the University of Pennsylvania in 1959 for research supervised by Bernard Epstein.[1]",153
Minsky,7,"Marvin Lee Minsky was born in New York City, to an eye surgeon father, Henry, and to a mother, Fannie (Reiser), who was a Zionist activist.[15][16][17] His family was Jewish. He attended the Ethical Culture Fieldston School and the Bronx High School of Science. He later attended Phillips Academy in Andover, Massachusetts. He then served in the US Navy from 1944 to 1945. He received a B.A. in mathematics from Harvard University in 1950 and a Ph.D. in mathematics from Princeton University in 1954. His doctoral dissertation was titled ""Theory",33
Mitchell,1,"Mitchell was born in Kitchener, Ontario, Canada. He grew up in Cambridge, Ontario, and graduated with a degree in mathematics from the University of Waterloo in 1966. Mitchell began working with computers in 1962 while a student at the University of Waterloo. He and three other undergraduates developed a fast compiler for the Fortran programming language named WATFOR (Waterloo FORTRAN), for the IBM 7040 computer.[2] The project, initiated by Professor J. Wesley Graham, established Waterloo's early reputation as a centre for software and computer science research by helping the first",19
Mitchell,2,"Mitchell was born in Blossburg, Pennsylvania and grew up in Upstate New York, in the town of Vestal.[5][6] He received his bachelor of Science degree in Electrical Engineering from the Massachusetts Institute of Technology in 1973 and a Ph.D. from Stanford University under the direction of Bruce G. Buchanan in 1979.",252
Mockapetris,4,"Mockapetris graduated from the Boston Latin School in 1966, received his bachelor's degrees in physics and electrical engineering from the Massachusetts Institute of Technology in 1971 and his doctorate in information and computer science from the University of California at Irvine in 1982.[1][2]",13
Moler,2,"He received his bachelor's degree from California Institute of Technology in 1961, and a Ph.D. in 1965 from Stanford University, both in mathematics.[2] He worked for Charles Lawson at the Jet Propulsion Laboratory in 1961 and 1962. He was a professor of mathematics and computer science for almost 20 years at the University of Michigan, Stanford University, and the University of New Mexico.[3] Before joining MathWorks full-time in 1989, he also worked for Intel Hypercube, where he coined the term ""embarrassingly parallel"", and Ardent Computer Corporation. He is also co-author",4
Moller,0,"Moller studied mathematics and computer science as an undergraduate at the University of British Columbia, and then as a Masters student at the University of Waterloo, before going on to do a PhD supervised by Robin Milner in the Laboratory for Foundations of Computer Science at the University of Edinburgh. He has held posts at the universities of Strathclyde and Edinburgh, The Swedish Institute for Computer Science, The Royal Institute of Technology in Stockholm, and Uppsala University before moving to Wales as Professor of Computer Science at Swansea University in",79
Moon,0,"Moon's best subjects in school were Mathematics, Science and English. After he graduated high school with honors, he enrolled at Pennsylvania State University where he received a degree in mechanical engineering in 1960. After graduating from there he decided to further pursue his education and get his masters from New York University (NYU) where he continued his studies in engineering.",0
Moore,0,"Moore received a B.S. in chemistry from the Virginia Polytechnic Institute in Blacksburg, Virginia in 1947 and a Ph.D. in Mathematics from Brown University in Providence, Rhode Island in June 1950. He worked at the University of Illinois at Urbana–Champaign from 1950 to 1952 and was a visiting professor at MIT and visiting lecturer at Harvard University simultaneously in 1961-1962. He worked at Bell Labs from 1952 to 1966. After that, he was a professor at the University of Wisconsin–Madison from 1966 until he retired in 1985. He married Elinor",4
Moore,11,"Gordon Moore was born in 1929 as the second son of Walter Harold Moore (a county sheriff stationed in San Mateo County) and Florence Almira ""Mira"" Williamson (a homemaker).[9] When Moore started school in 1935, the faculty noted his introverted personality.[10] His father accepted a promotion to deputy sheriff in 1938 and moved the family to Redwood City, California.[11] In 1940, Moore received a chemistry set as a Christmas gift, which inspired him to become a chemist.[12] From 1942 to 1946, Moore studied at Sequoia High School, where he was",1
Moses,0,"Joel Moses was born in Mandatory Palestine on 25 November 1941 and emigrated to the United States in 1954. He attended Midwood High School in Brooklyn, New York.[2] He received his Bachelor of Arts (BA) degree in mathematics from Columbia University and a Master of Arts (MA) in mathematics, also from Columbia. Under the supervision of Marvin Minsky, Moses received his Doctor of Philosophy (PhD) in mathematics at MIT in 1967 with a thesis entitled Symbolic Integration. This laid the groundwork for the Macsyma symbolic mathematics program that was created",23
Motwani,1,"Rajeev Motwani was born in Jammu, Jammu and Kashmir, India on 24 March 1962, and grew up in New Delhi.[5] His father was in the Indian Army. He had two brothers. As a child, inspired by luminaries like Gauss, he wanted to become a mathematician. Motwani went to St Columba's School, New Delhi. He completed his B.Tech. in Computer Science from the Indian Institute of Technology Kanpur in Kanpur, Uttar Pradesh in 1983 and got his Ph.D. in Computer Science from the University of California, Berkeley in Berkeley, California, United",210
Muggleton,5,Muggleton received his Bachelor of Science degree in computer science (1982) and Doctor of Philosophy in artificial intelligence (1986) supervised by Donald Michie at the University of Edinburgh.[12],208
Mycroft,0,Mycroft read mathematics at Cambridge then moved to Edinburgh where he completed his Doctor of Philosophy degree with a thesis on Abstract interpretation and optimising transformations for applicative programs[2] supervised by Rod Burstall and Robin Milner.,122
Myers,4,"Myers received his BS degree in Computer Science and MS degree in Computer Science and Engineering under MIT in 1980, whilst simultaneously interning at Xerox Parc for his Master's thesis. He then received his PhD in Computer Science from the University of Toronto in 1987.",364
Nadin,0,"At the Rhode Island School of Design, Nadin made a name for himself as one of the first proponents, in the nation, of integrating computers in education. He lectured on the topic around the US and consulted for several institutes of higher education (Rochester Institute of Technology, Illinois Institute of Technology, University of Oregon, Hadassah University in Israel, among others) in setting up programs in art and design with computers. Prior to the widespread use of the Internet, Nadin developed several computer-aided educational aids. Docent, a HyperCard based software program,",49
Naur,2,"Naur began his career as an astronomer for which he received his Doctor of Philosophy (Ph.D.) degree in 1957, but his encounter with computers led to a change of profession. From 1959 to 1969, he was employed at Regnecentralen, the Danish computing company, while at the same time giving lectures at the Niels Bohr Institute and the Technical University of Denmark. From 1969 to 1998, Naur was a professor of computer science at University of Copenhagen. He was a member of the International Federation for Information Processing (IFIP) IFIP Working",38
Needham,1,"Needham was born in Birmingham, England, the only child of Phyllis Mary, née Baker (c.1904–1976) and Leonard William Needham (c.1905–1973), a university chemistry lecturer.[7] He attended Doncaster Grammar School for Boys in Doncaster (then in the West Riding) going on to St John's College, Cambridge in 1953, and graduating with a BA in 1956 in mathematics and philosophy.[7] His PhD thesis was on applications of digital computers to the automatic classification and retrieval of documents. He worked on a variety of key computing projects in security, operating systems, computer architecture",82
Nell,0,"Nell received his Bachelor of Science in Electrical Engineering (BSEE) from Drexel University and his MBA from Bowling Green State University.[1] From 1961 until 1993 Nell worked at Westinghouse Electric Company in various assignments in systems engineering, international marketing, program management, and strategic planning and finally Manager of Information Technology Programs at the Manufacturing Systems and Technology Center of Westinghouse Electric Corporation in Columbia, Maryland. From 1993 to 2000 at NIST he was the principal investigator of the Manufacturing Enterprise Integration Project.[2] Formerly he was active in the TC 184",12
Nelson,1,"Nelson grew up in Honolulu. As a boy he excelled at gymnastics and tennis. He attended the University Laboratory School. He received his B.A. degree in mathematics from Harvard University in 1976. He received his Ph.D. in computer science from Stanford University in 1980 under the supervision of Robert Tarjan. He lived in Juneau, Alaska for a year before settling permanently in the San Francisco Bay Area.",29
Neumann,6,"Von Neumann was born in Budapest, Kingdom of Hungary (then part of the Austro-Hungarian Empire),[13][14][15] on December 28, 1903, to a wealthy, non-observant Jewish family. His birth name was Neumann János Lajos. In Hungarian, the family name comes first, and his given names are equivalent to John Louis in English.[16] He was the eldest of three brothers; his two younger siblings were Mihály (Michael) and Miklós (Nicholas).[17] His father Neumann Miksa (Max von Neumann) was a banker and held a doctorate in law. He had moved to Budapest from Pécs",10
Newman,4,"Newman was born Maxwell Herman Alexander Neumann in Chelsea, London, England, to a Jewish family, on 7 February 1897.[4] His father was Herman Alexander Neumann, originally from the German city of Bromberg (now in Poland), who had emigrated with his family to London at the age of 15.[12] Herman worked as a secretary in a company, and married Sarah Ann Pike, an Irish schoolteacher, in 1896.[1] The family moved to Dulwich in 1903, and Newman attended Goodrich Road school, then City of London School from 1908.[1][13] At school, he excelled",2
Ng,10,"In 2011, Stanford launched a total of three massive open online course (MOOCs) on machine learning (CS229a), databases, and AI, taught by Ng, Peter Norvig, Sebastian Thrun, and Jennifer Widom.[45][46] This has led to the modern MOOC movement. Ng taught machine learning and Widom taught databases. The course on AI taught by Thrun led to the genesis of Udacity.[45] Coursera was the 6th online education website that Ng built and arguably the most successful to date.[47] But we learned and learned and learned from the early prototypes, until in 2011",1
Nilsson,0,"Nilsson was born in Saginaw, Michigan, in 1933.[2] He received his Ph.D. from Stanford in 1958, and spent much of his career at SRI International, a private research lab spun off from Stanford.[2][3] Nilsson served as a lieutenant in the U.S. Air Force from 1958 to 1961; he was stationed at the Rome Air Development Center in Rome, New York.[2][3]",24
Nijssen,0,"Nijssen finished his study at the Eindhoven University of Technology in 1965, and started working at Philips at the department of Commercial Efficiency Research. From 1968 to 1970 he has been director of the educational institute ""The Dutch Centre for Business and IT"". In 1970 he moved to the Control Data Corporation, a pioneer in the field of computer science with the European headquarters in Brussels in Belgium. In those years he started fact-based modeling and developed NIAM. During this time, he was also associated with several academic institutions and",36
Nivat,7,"Nivat was born in Clermont-Ferrand, France. His parents were high-school teachers; his father taught languages while his mother taught mathematics. His sister, Aline, became a notable mathematician.[2] In 1954, Nivat moved with his family to Paris.[2] Nivat was admitted to the École Normale Supérieure in 1956, but began working at the Blaise Pascal Institute of the French National Centre for Scientific Research, a newly established computing laboratory, in 1959.[1][2] He returned to study mathematics in 1961 under the supervision of Marcel-Paul Schützenberger.[1] His 1967 thesis was entitled Transductions des langages",110
Noe,0,"Noe was born in McCloud, California. He received a Bachelor's degree in electrical engineering from the University of California, Berkeley. Stationed in Europe during World War II, he conducted research and development related to radar, before returning to California to complete a Ph.D. in electrical engineering at Stanford University.[1]",16
Novacky,0,"Novacky first received a mathematics degree from Wheeling Jesuit College in 1968. In 1971, he received his MA in mathematics followed by a PhD in mathematics in 1981. Both his MA and PhD were from University of Pittsburgh. Novacky's dissertation was Chromaticity of Extremal Graphs.[1] He was an Associate Professor of Mathematics at the Community College of Allegheny County from 1977 to 1985. He has been a faculty member of the University of Pittsburgh's Department of Computer Science since 1985. In 1993, Novacky received The Chancellor's Distinguished Teaching Award.[2]",1
O'Hearn,16,"O'Hearn attained a BSc degree in computer science from Dalhousie University, Halifax, Nova Scotia (1985), followed by MSc (1987) and PhD (1991) degrees from Queen's University, Kingston, Ontario, Canada. His dissertation was on Semantics of Non-interference: A natural approach, supervised by Robert D. Tennent.[11][18]",108
Olle,0,"Bill Olle was educated at Boston Grammar School (1943-1950). He received an M.Sc. degree in 1954 and a Ph.D. degree in 1957, both in Astrophysics at the University of Manchester, which involved extensive programming work on the Manchester University Electronic Computer.[1] In 1957, he moved to the Netherlands, where he worked in computing for a NATO organization. In 1964, he moved to the United States, where he was employed by Control Data Corporation in Palo Alto, California until 1966. From 1967 to 1971, he was employed by the RCA Corporation",35
Omohundro,0,"Omohundro has degrees in physics and mathematics from Stanford University (Phi Beta Kappa)[2] and a Ph.D. in physics from the University of California, Berkeley.[3]",5
Page,0,"Page attended Okemos Montessori School (now called Montessori Radmoor) in Okemos, Michigan, from ages 2 to 7 (1975 to 1979). He attended East Lansing High School, graduating in 1991. In summer school, he attended Interlochen Center for the Arts at Interlochen, Michigan, playing flute but mainly saxophone for two summers. Page received a Bachelor of Science with a major in computer engineering with honors from the University of Michigan in 1995 and a Master of Science in computer science from Stanford University in 1998.[33][34][35][36] While at the University of Michigan,",5
Pal,2,"SK Pal studied at the University of Calcutta for his BSc in physics (1969), and BTech (1972) and MTech (1974) in radio physics and electronics. He received a PhD in radio physics and electronics from the Rajabazar Science College campus of University of Calcutta in 1979 as a student of Indian Statistical Institute, and another PhD in electrical engineering along with Diploma of the Imperial College from Imperial College, University of London, in 1982. After completing PhD at Imperial College, London as a Commonwealth Scholar, he did post-doctoral research there",328
Papadimitriou,5,"Papadimitriou studied at the National Technical University of Athens, where in 1972 he received his Bachelor of Arts degree in electrical engineering. He then pursued graduate studies at Princeton University, where he received his Ph.D. in electrical engineering and computer science in 1976 after completing a doctoral dissertation titled ""The complexity of combinatorial optimization problems.""[9]",494
Patil,0,"Patil attended Kennedy Middle School, Monta Vista High School and De Anza College, all in Cupertino, California.[9][10] While at Kennedy, he participated in a student exchange program, visiting Toyokawa, Cupertino's sister city in Japan, in 1988. In high school, he often got into trouble and graduated in 1992 near the bottom of his class. He followed his girlfriend to De Anza Community College, which he attended for one year.[11][12] He earned a B.A. in mathematics from Earl Warren College[13] at University of California, San Diego. He received a PhD in",0
Patterson,9,"David Patterson grew up in Evergreen Park, Illinois. He graduated from South High School in Torrance, California. He then attended the University of California, Los Angeles (UCLA), receiving his Bachelor of Arts degree in Mathematics in 1969. He continued on to obtain his Master of Science degree in 1970 and PhD in 1976, both in Computer Science at UCLA. Patterson's PhD was advised by David F. Martin and Gerald Estrin.[13][14][15][16]",5
Paulson,2,"Paulson graduated from the California Institute of Technology in 1977,[10] and obtained his PhD in Computer Science from Stanford University in 1981 for research on programming languages and compiler-compilers supervised by John L. Hennessy.[3][11]",223
Pavón,0,"Pavón belongs to the first Spanish generation to get official studies in Computer Science, during the 1980s.[11] He studied Computer Science at the Technical University of Madrid, graduating in 1985. In 1988, he obtained his PhD in this area with the thesis: ""Synthesis of communication protocols from service specifications"".[12] While doing this thesis, he worked as assistant professor at the same university. After his PhD, he joined Alcatel-Lucent R&D team, where he worked for 10 years. At the end of 1997 he got an Associate Professor position at UCM, and",148
Pearl,7,"Judea Pearl was born in Tel Aviv, British Mandate for Palestine, in 1936 to Polish Jewish immigrant parents.[8] He is a descendant of Menachem Mendel of Kotzk on his mother's side. After serving in the Israel Defense Forces and joining a kibbutz, Pearl decided to study engineering in 1956. He received a B.S. in electrical engineering from the Technion 1960. That same year, he emigrated to the United States and pursued graduate studies. He received an M.S. in electrical engineering from the Newark College of Engineering (now New Jersey Institute",309
Perlis,2,"Perlis was born to a Jewish family in Pittsburgh, Pennsylvania. He graduated from Taylor Allderdice High School in 1939.[2] In 1943, he received his bachelor's degree in chemistry from the Carnegie Institute of Technology (later renamed Carnegie Mellon University). During World War II, he served in the U.S. Army, where he became interested in mathematics. He then earned both a master's degree (1949) and a Ph.D. (1950) in mathematics at Massachusetts Institute of Technology (MIT). His doctoral dissertation was titled ""On Integral Equations, Their Solution by Iteration and Analytic Continuation"".",51
Perlman,0,"As an undergraduate at MIT Perlman learned programming for a physics class. She was given her first paid job in 1971 as part-time programmer for the LOGO Lab at the (then) MIT Artificial Intelligence Laboratory, programming system software such as debuggers. [14] Working under the supervision of Seymour Papert, she developed a child-friendly version of the educational robotics language LOGO, called TORTIS (""Toddler's Own Recursive Turtle Interpreter System""). During research performed in 1974–76, young children—the youngest aged 3½ years, programmed a LOGO educational robot called a Turtle. Perlman has been",67
